"FREQ","Vout"
1.519911083,-0.542023
1.523414757,-0.542023
1.52692659,-0.542023
1.53044652,-0.542023
1.533974563,-0.542023
1.53751074,-0.542023
1.541055068,-0.542023
1.544607567,-0.542023
1.548168255,-0.542023
1.551737152,-0.542023
1.555314275,-0.542023
1.558899645,-0.542023
1.56249328,-0.542023
1.566095199,-0.542023
1.569705421,-0.542023
1.573323966,-0.542023
1.576950852,-0.542023
1.580586099,-0.542023
1.584229726,-0.542023
1.587881753,-0.542023
1.591542199,-0.542023
1.595211082,-0.542023
1.598888424,-0.542023
1.602574242,-0.542023
1.606268557,-0.542023
1.609971389,-0.542023
1.613682756,-0.542023
1.617402679,-0.542023
1.621131177,-0.542023
1.624868271,-0.542023
1.628613979,-0.542023
1.632368322,-0.542023
1.636131319,-0.542023
1.639902992,-0.542023
1.643683358,-0.542023
1.64747244,-0.542023
1.651270256,-0.542023
1.655076827,-0.542023
1.658892173,-0.542023
1.662716315,-0.542023
1.666549272,-0.542023
1.670391064,-0.542023
1.674241714,-0.542023
1.678101239,-0.542023
1.681969662,-0.542023
1.685847003,-0.542023
1.689733281,-0.542023
1.693628519,-0.542023
1.697532736,-0.542023
1.701445953,-0.542023
1.705368191,-0.542023
1.709299471,-0.542023
1.713239813,-0.542023
1.717189238,-0.542023
1.721147768,-0.542023
1.725115424,-0.542023
1.729092226,-0.542023
1.733078195,-0.542023
1.737073353,-0.542023
1.74107772,-0.542023
1.745091319,-0.542023
1.74911417,-0.542023
1.753146295,-0.542023
1.757187714,-0.542023
1.76123845,-0.542023
1.765298524,-0.542023
1.769367957,-0.542023
1.773446772,-0.542023
1.777534989,-0.542023
1.78163263,-0.542023
1.785739718,-0.542023
1.789856273,-0.542023
1.793982318,-0.542023
1.798117874,-0.542023
1.802262964,-0.542023
1.806417609,-0.542023
1.810581832,-0.542023
1.814755654,-0.542023
1.818939098,-0.542023
1.823132185,-0.542023
1.827334939,-0.542023
1.831547381,-0.542023
1.835769534,-0.542023
1.84000142,-0.542023
1.844243061,-0.542023
1.84849448,-0.542023
1.8527557,-0.542023
1.857026743,-0.542023
1.861307632,-0.542023
1.865598389,-0.542023
1.869899038,-0.542023
